id,Constituency,County,Country/Region,Country,Electorate_2019,Green Votes_2019,Green Vote share_2019,Total votes_2019,Year
W07000049,ABERAVON,West Glamorgan,Wales,Wales,"50,750",450,1%,"31,598",2019
W07000058,ABERCONWY,Clwyd,Wales,Wales,"44,699",,,"31,865",2019
S14000001,ABERDEEN NORTH,,Scotland,Scotland,"62,489",880,2%,"37,413",2019
S14000002,ABERDEEN SOUTH,,Scotland,Scotland,"65,719",,,"45,638",2019
S14000003,AIRDRIE AND SHOTTS,,Scotland,Scotland,"64,011",685,2%,"39,772",2019
E14000530,ALDERSHOT,Hampshire,South East,England,"72,617","1,750",4%,"47,932",2019
E14000531,ALDRIDGE-BROWNHILLS,West Midlands,West Midlands,England,"60,138",771,2%,"39,342",2019
E14000532,ALTRINCHAM AND SALE WEST,Greater Manchester,North West,England,"73,107","1,566",3%,"54,763",2019
W07000043,ALYN AND DEESIDE,Clwyd,Wales,Wales,"62,789",,,"43,008",2019
E14000533,AMBER VALLEY,Derbyshire,East Midlands,England,"69,976","1,388",3%,"45,567",2019
S14000004,ANGUS,,Scotland,Scotland,"63,952",,,"43,170",2019
W07000057,ARFON,Gwynedd,Wales,Wales,"42,215",,,"29,074",2019
S14000005,ARGYLL AND BUTE,,Scotland,Scotland,"66,525",,,"48,050",2019
E14000534,ARUNDEL AND SOUTH DOWNS,West Sussex,South East,England,"81,726","2,519",4%,"61,408",2019
E14000535,ASHFIELD,Nottinghamshire,East Midlands,England,"78,204",674,1%,"48,980",2019
E14000536,ASHFORD,Kent,South East,England,"89,553","2,638",4%,"60,059",2019
E14000537,ASHTON-UNDER-LYNE,Greater Manchester,North West,England,"67,978","1,208",3%,"38,579",2019
E14000538,AYLESBURY,Buckinghamshire,South East,England,"86,665","2,394",4%,"60,576",2019
S14000006,"AYR, CARRICK AND CUMNOCK",,Scotland,Scotland,"71,970",,,"46,592",2019
E14000539,BANBURY,Oxfordshire,South East,England,"90,116","2,607",4%,"62,921",2019
S14000007,BANFF AND BUCHAN,,Scotland,Scotland,"66,655",,,"42,260",2019
