id,Constituency,County,Country/Region,Country,Electorate_2015,Green Votes_2015,Green Vote share_2015,Total votes_2015,Year
E14000530,ALDERSHOT,Hampshire,South East,England,"72,430","2,025",4%,"46,191",2015
E14000531,ALDRIDGE-BROWNHILLS,West Midlands,West Midlands,England,"60,215",826,2%,"39,497",2015
E14000532,ALTRINCHAM & SALE WEST,Greater Manchester,North West,England,"71,511","1,983",4%,"50,517",2015
E14000533,AMBER VALLEY,Derbyshire,East Midlands,England,"69,510","1,087",2%,"45,717",2015
E14000534,ARUNDEL & SOUTH DOWNS,West Sussex,South East,England,"77,242","3,606",6%,"56,477",2015
E14000535,ASHFIELD,Nottinghamshire,East Midlands,England,"77,091",,,"47,409",2015
E14000536,ASHFORD,Kent,South East,England,"85,177","2,467",4%,"57,372",2015
E14000537,ASHTON UNDER LYNE,Greater Manchester,North West,England,"68,343","1,531",4%,"38,918",2015
E14000538,AYLESBURY,Buckinghamshire,South East,England,"80,315","2,135",4%,"55,419",2015
E14000539,BANBURY,Oxfordshire,South East,England,"86,420","2,686",5%,"58,008",2015
E14000540,BARKING,London,London,England,"73,977",897,2%,"43,041",2015
E14000541,BARNSLEY CENTRAL,South Yorkshire,Yorkshire and The Humber,England,"64,534",938,3%,"36,560",2015
E14000542,BARNSLEY EAST,South Yorkshire,Yorkshire and The Humber,England,"69,135",,,"38,517",2015
E14000543,BARROW & FURNESS,Cumbria,North West,England,"68,338","1,061",2%,"43,275",2015
E14000544,BASILDON & BILLERICAY,Essex,Eastern,England,"66,347",,,"43,028",2015
E14000545,BASINGSTOKE,Hampshire,South East,England,"79,665",,,"53,076",2015
E14000546,BASSETLAW,Nottinghamshire,East Midlands,England,"76,796","1,006",2%,"49,289",2015
E14000547,BATH,Avon,South West,England,"63,084","5,634",12%,"47,167",2015
E14000548,BATLEY & SPEN,West Yorkshire,Yorkshire and The Humber,England,"78,373","1,232",2%,"50,479",2015
E14000549,BATTERSEA,London,London,England,"76,111","1,682",3%,"51,031",2015
E14000550,BEACONSFIELD,Buckinghamshire,South East,England,"74,726","2,231",4%,"53,163",2015
E14000551,BECKENHAM,London,London,England,"67,439","1,878",4%,"48,803",2015
E14000552,BEDFORD,Bedfordshire,Eastern,England,"69,311","1,412",3%,"46,086",2015
E14000553,BERMONDSEY & OLD SOUTHWARK,London,London,England,"83,298","2,023",4%,"51,424",2015
E14000554,BERWICK-UPON-TWEED,Northumberland,North East,England,"56,969","1,488",4%,"40,423",2015
E14000555,BETHNAL GREEN & BOW,London,London,England,"82,727","4,906",9%,"52,924",2015
E14000556,BEVERLEY & HOLDERNESS,Humberside,Yorkshire and The Humber,England,"80,805","1,802",3%,"52,677",2015
E14000557,BEXHILL & BATTLE,East Sussex,South East,England,"78,796","2,807",5%,"55,218",2015
E14000558,BEXLEYHEATH & CRAYFORD,London,London,England,"64,828",950,2%,"43,685",2015
E14000559,BIRKENHEAD,Merseyside,North West,England,"62,410","1,626",4%,"39,144",2015
E14000560,BIRMINGHAM EDGBASTON,West Midlands,West Midlands,England,"65,591","1,371",3%,"41,293",2015
E14000561,BIRMINGHAM ERDINGTON,West Midlands,West Midlands,England,"65,128",948,3%,"34,684",2015
E14000562,BIRMINGHAM HALL GREEN,West Midlands,West Midlands,England,"76,330","2,200",5%,"47,046",2015
E14000563,BIRMINGHAM HODGE HILL,West Midlands,West Midlands,England,"75,302",835,2%,"41,039",2015
E14000564,BIRMINGHAM LADYWOOD,West Midlands,West Midlands,England,"68,128","1,501",4%,"35,916",2015
E14000565,BIRMINGHAM NORTHFIELD,West Midlands,West Midlands,England,"71,428","1,169",3%,"42,461",2015
E14000566,BIRMINGHAM PERRY BARR,West Midlands,West Midlands,England,"69,943","1,330",3%,"41,260",2015
E14000567,BIRMINGHAM SELLY OAK,West Midlands,West Midlands,England,"75,092","2,301",5%,"45,294",2015
E14000568,BIRMINGHAM YARDLEY,West Midlands,West Midlands,England,"72,146",698,2%,"41,151",2015
E14000569,BISHOP AUCKLAND,Durham,North East,England,"66,070","1,545",4%,"39,389",2015
E14000570,BLACKBURN,Lancashire,North West,England,"73,260",,,"43,999",2015
E14000571,BLACKLEY & BROUGHTON,Greater Manchester,North West,England,"71,913","1,567",4%,"37,112",2015
E14000572,BLACKPOOL NORTH & CLEVELEYS,Lancashire,North West,England,"62,468",889,2%,"39,393",2015
E14000573,BLACKPOOL SOUTH,Lancashire,North West,England,"57,411",841,3%,"32,436",2015
E14000574,BLAYDON,Tyne and Wear,North East,England,"67,901","1,648",4%,"44,936",2015
E14000575,BLYTH VALLEY,Northumberland,North East,England,"61,247","1,453",4%,"38,461",2015
E14000576,BOGNOR REGIS & LITTLEHAMPTON,West Sussex,South East,England,"72,995","1,942",4%,"47,116",2015
E14000577,BOLSOVER,Derbyshire,East Midlands,England,"71,979",,,"43,998",2015
E14000578,BOLTON NORTH EAST,Greater Manchester,North West,England,"67,895","1,103",3%,"43,161",2015
E14000579,BOLTON SOUTH EAST,Greater Manchester,North West,England,"69,687","1,200",3%,"40,743",2015
E14000580,BOLTON WEST,Greater Manchester,North West,England,"72,719",,,"48,592",2015
E14000581,BOOTLE,Merseyside,North West,England,"70,145","1,501",3%,"45,152",2015
E14000582,BOSTON & SKEGNESS,Lincolnshire,East Midlands,England,"67,064",800,2%,"43,339",2015
E14000583,BOSWORTH,Leicestershire,East Midlands,England,"79,738",,,"53,582",2015
E14000584,BOURNEMOUTH EAST,Dorset,South West,England,"72,275","3,263",7%,"44,827",2015
E14000585,BOURNEMOUTH WEST,Dorset,South West,England,"72,082","3,107",7%,"41,773",2015
E14000586,BRACKNELL,Berkshire,South East,England,"81,271","2,202",4%,"53,086",2015
E14000587,BRADFORD EAST,West Yorkshire,Yorkshire and The Humber,England,"66,121",871,2%,"41,406",2015
E14000588,BRADFORD SOUTH,West Yorkshire,Yorkshire and The Humber,England,"63,674","1,243",3%,"37,600",2015
E14000589,BRADFORD WEST,West Yorkshire,Yorkshire and The Humber,England,"63,372","1,085",3%,"40,290",2015
E14000590,BRAINTREE,Essex,Eastern,England,"73,557","1,564",3%,"50,283",2015
E14000591,BRENT CENTRAL,London,London,England,"77,038","1,912",4%,"47,032",2015
E14000592,BRENT NORTH,London,London,England,"82,196","1,539",3%,"52,235",2015
E14000593,BRENTFORD & ISLEWORTH,London,London,England,"84,602","2,120",4%,"57,355",2015
E14000594,BRENTWOOD & ONGAR,Essex,Eastern,England,"71,918","1,397",3%,"51,897",2015
E14000595,BRIDGWATER & SOMERSET WEST,Somerset,South West,England,"80,491","2,636",5%,"54,447",2015
E14000596,BRIGG & GOOLE,Humberside,Yorkshire and The Humber,England,"68,488",915,2%,"43,270",2015
E14000597,BRIGHTON KEMPTOWN,East Sussex,South East,England,"67,858","3,187",7%,"45,306",2015
E14000598,BRIGHTON PAVILION,East Sussex,South East,England,"76,557","22,871",42%,"54,676",2015
E14000599,BRISTOL EAST,Avon,South West,England,"71,193","3,827",8%,"46,213",2015
E14000600,BRISTOL NORTH WEST,Avon,South West,England,"74,743","2,952",6%,"51,805",2015
E14000601,BRISTOL SOUTH,Avon,South West,England,"81,496","5,861",12%,"50,842",2015
E14000602,BRISTOL WEST,Avon,South West,England,"91,236","17,227",27%,"64,218",2015
E14000603,BROADLAND,Norfolk,Eastern,England,"73,552","2,252",4%,"53,089",2015
E14000604,BROMLEY & CHISLEHURST,London,London,England,"65,477","1,823",4%,"44,066",2015
E14000605,BROMSGROVE,Hereford and Worcester,West Midlands,England,"73,337","1,729",3%,"52,245",2015
E14000606,BROXBOURNE,Hertfordshire,Eastern,England,"72,944","1,216",3%,"46,024",2015
E14000607,BROXTOWE,Nottinghamshire,East Midlands,England,"71,764","1,544",3%,"53,440",2015
E14000608,BUCKINGHAM,Buckinghamshire,South East,England,"77,425","7,400",14%,"53,692",2015
E14000609,BURNLEY,Lancashire,North West,England,"64,477",850,2%,"39,746",2015
E14000610,BURTON,Staffordshire,West Midlands,England,"75,248","1,224",2%,"48,974",2015
E14000611,BURY NORTH,Greater Manchester,North West,England,"67,580","1,141",3%,"45,230",2015
E14000612,BURY SOUTH,Greater Manchester,North West,England,"73,883","1,434",3%,"47,215",2015
E14000613,BURY ST EDMUNDS,Suffolk,Eastern,England,"85,982","4,692",8%,"59,341",2015
E14000614,CALDER VALLEY,West Yorkshire,Yorkshire and The Humber,England,"77,754","2,090",4%,"53,541",2015
E14000615,CAMBERWELL & PECKHAM,London,London,England,"82,746","5,187",10%,"51,561",2015
E14000616,CAMBORNE & REDRUTH,Cornwall,South West,England,"66,944","2,608",6%,"45,868",2015
E14000617,CAMBRIDGE,Cambridgeshire,Eastern,England,"83,384","4,109",8%,"51,774",2015
E14000618,CANNOCK CHASE,Staffordshire,West Midlands,England,"74,532",906,2%,"47,099",2015
E14000619,CANTERBURY,Kent,South East,England,"81,341","3,746",7%,"53,465",2015
E14000620,CARLISLE,Cumbria,North West,England,"65,827","1,125",3%,"42,587",2015
E14000621,CARSHALTON & WALLINGTON,London,London,England,"69,981","1,492",3%,"47,613",2015
E14000622,CASTLE POINT,Essex,Eastern,England,"68,170","1,076",2%,"45,450",2015
E14000623,DEVON CENTRAL,Devon,South West,England,"72,737","4,866",9%,"54,448",2015
E14000624,SUFFOLK CENTRAL & IPSWICH NORTH,Suffolk,Eastern,England,"76,666","2,664",5%,"54,089",2015
E14000625,CHARNWOOD,Leicestershire,East Midlands,England,"77,269",,,"52,261",2015
E14000626,CHATHAM & AYLESFORD,Kent,South East,England,"66,355","1,101",3%,"43,073",2015
E14000627,CHEADLE,Greater Manchester,North West,England,"73,239",,,"53,095",2015
E14000628,CHELMSFORD,Essex,Eastern,England,"78,580","1,892",4%,"53,817",2015
E14000629,CHELSEA & FULHAM,London,London,England,"63,478","1,474",4%,"40,226",2015
E14000630,CHELTENHAM,Gloucestershire,South West,England,"77,287","2,689",5%,"53,735",2015
E14000631,CHESHAM & AMERSHAM,Buckinghamshire,South East,England,"72,547","2,901",6%,"52,730",2015
E14000632,CHESTERFIELD,Derbyshire,East Midlands,England,"71,625","1,352",3%,"45,567",2015
E14000633,CHICHESTER,West Sussex,South East,England,"83,396","3,742",7%,"57,139",2015
E14000634,CHINGFORD & WOODFORD GREEN,London,London,England,"66,680","1,854",4%,"43,804",2015
E14000635,CHIPPENHAM,Wiltshire,South West,England,"74,218","2,330",4%,"55,407",2015
E14000636,CHIPPING BARNET,London,London,England,"77,807","2,501",5%,"53,013",2015
E14000637,CHORLEY,Lancashire,North West,England,"74,679","1,111",2%,"51,712",2015
E14000638,CHRISTCHURCH,Dorset,South West,England,"69,303","2,149",4%,"49,707",2015
E14000639,CITIES OF LONDON & WESTMINSTER,London,London,England,"60,992","1,953",5%,"36,185",2015
E14000640,"CHESTER, CITY OF",Cheshire,North West,England,"74,485",,,"51,161",2015
E14000641,"DURHAM, CITY OF",Durham,North East,England,"68,725","2,687",6%,"45,669",2015
E14000642,CLACTON,Essex,Eastern,England,"68,936","1,184",3%,"44,207",2015
E14000643,CLEETHORPES,Humberside,Yorkshire and The Humber,England,"71,008","1,013",2%,"45,089",2015
E14000644,COLCHESTER,Essex,Eastern,England,"74,204","2,499",5%,"48,593",2015
E14000645,COLNE VALLEY,West Yorkshire,Yorkshire and The Humber,England,"82,516","1,919",3%,"56,800",2015
E14000646,CONGLETON,Cheshire,North West,England,"72,503","1,876",4%,"50,976",2015
E14000647,COPELAND,Cumbria,North West,England,"62,087","1,179",3%,"39,631",2015
E14000648,CORBY,Northamptonshire,East Midlands,England,"79,775","1,374",2%,"56,174",2015
E14000649,COVENTRY NORTH EAST,West Midlands,West Midlands,England,"75,462","1,245",3%,"42,231",2015
E14000650,COVENTRY NORTH WEST,West Midlands,West Midlands,England,"73,626","1,961",4%,"45,246",2015
E14000651,COVENTRY SOUTH,West Midlands,West Midlands,England,"70,397","1,719",4%,"43,699",2015
E14000652,CRAWLEY,West Sussex,South East,England,"73,936","1,100",2%,"48,550",2015
E14000653,CREWE & NANTWICH,Cheshire,North West,England,"74,169",,,"49,896",2015
E14000654,CROYDON CENTRAL,London,London,England,"78,171","1,454",3%,"52,941",2015
E14000655,CROYDON NORTH,London,London,England,"85,941","2,515",5%,"53,522",2015
E14000656,CROYDON SOUTH,London,London,England,"82,010","2,154",4%,"57,712",2015
E14000657,DAGENHAM & RAINHAM,London,London,England,"69,128",806,2%,"43,050",2015
E14000658,DARLINGTON,Durham,North East,England,"65,851","1,444",4%,"41,141",2015
E14000659,DARTFORD,Kent,South East,England,"75,209","1,324",3%,"52,418",2015
E14000660,DAVENTRY,Northamptonshire,East Midlands,England,"72,873","1,829",3%,"52,518",2015
E14000661,DENTON & REDDISH,Greater Manchester,North West,England,"66,141","1,466",4%,"38,681",2015
E14000662,DERBY NORTH,Derbyshire,East Midlands,England,"69,794","1,618",4%,"44,745",2015
E14000663,DERBY SOUTH,Derbyshire,East Midlands,England,"70,240","1,208",3%,"40,820",2015
E14000664,DERBYSHIRE DALES,Derbyshire,East Midlands,England,"63,476","2,173",5%,"47,361",2015
E14000665,DEVIZES,Wiltshire,South West,England,"69,205","2,853",6%,"49,006",2015
E14000666,DEWSBURY,West Yorkshire,Yorkshire and The Humber,England,"79,770","1,366",3%,"53,630",2015
E14000667,DON VALLEY,South Yorkshire,Yorkshire and The Humber,England,"71,299",,,"42,486",2015
E14000668,DONCASTER CENTRAL,South Yorkshire,Yorkshire and The Humber,England,"71,136",,,"40,420",2015
E14000669,DONCASTER NORTH,South Yorkshire,Yorkshire and The Humber,England,"70,989",757,2%,"39,501",2015
E14000670,DOVER,Kent,South East,England,"72,930","1,295",3%,"50,224",2015
E14000671,DUDLEY NORTH,West Midlands,West Midlands,England,"60,717",517,1%,"37,992",2015
E14000672,DUDLEY SOUTH,West Midlands,West Midlands,England,"60,363",970,3%,"38,210",2015
E14000673,DULWICH & WEST NORWOOD,London,London,England,"76,575","4,844",9%,"51,362",2015
E14000674,EALING CENTRAL & ACTON,London,London,England,"71,422","1,841",4%,"50,894",2015
E14000675,EALING NORTH,London,London,England,"73,881","1,635",3%,"48,510",2015
E14000676,EALING SOUTHALL,London,London,England,"65,606","2,007",5%,"43,321",2015
E14000677,EASINGTON,Durham,North East,England,"61,659",733,2%,"34,624",2015
E14000678,DEVON EAST,Devon,South West,England,"76,519",,,"54,717",2015
E14000679,EAST HAM,London,London,England,"87,382","1,299",2%,"52,290",2015
E14000680,HAMPSHIRE EAST,Hampshire,South East,England,"71,074","3,176",6%,"51,649",2015
E14000681,SURREY EAST,Surrey,South East,England,"79,654","2,159",4%,"56,103",2015
E14000682,WORTHING EAST & SHOREHAM,West Sussex,South East,England,"74,775","2,605",5%,"49,898",2015
E14000683,YORKSHIRE EAST,Humberside,Yorkshire and The Humber,England,"81,023","1,731",3%,"49,991",2015
E14000684,EASTBOURNE,East Sussex,South East,England,"78,262","1,351",3%,"52,907",2015
E14000685,EASTLEIGH,Hampshire,South East,England,"79,609","1,513",3%,"55,505",2015
E14000686,EDDISBURY,Cheshire,North West,England,"68,569","1,624",3%,"47,352",2015
E14000687,EDMONTON,London,London,England,"66,016","1,358",3%,"41,338",2015
E14000688,ELLESMERE PORT & NESTON,Cheshire,North West,England,"69,223",990,2%,"46,727",2015
E14000689,ELMET & ROTHWELL,West Yorkshire,Yorkshire and The Humber,England,"79,143","1,261",2%,"57,797",2015
E14000690,ELTHAM,London,London,England,"63,998","1,275",3%,"43,157",2015
E14000691,ENFIELD NORTH,London,London,England,"68,118","1,303",3%,"46,137",2015
E14000692,ENFIELD SOUTHGATE,London,London,England,"64,937","1,690",4%,"45,812",2015
E14000693,EPPING FOREST,Essex,Eastern,England,"73,447","1,782",4%,"49,348",2015
E14000694,EPSOM & EWELL,Surrey,South East,England,"78,633","2,116",4%,"57,143",2015
E14000695,EREWASH,Derbyshire,East Midlands,England,"71,943","1,184",2%,"48,322",2015
E14000696,ERITH & THAMESMEAD,London,London,England,"70,397",941,2%,"42,617",2015
E14000697,ESHER & WALTON,Surrey,South East,England,"79,894","2,355",4%,"56,976",2015
E14000698,EXETER,Devon,South West,England,"76,968","3,491",6%,"54,018",2015
E14000699,FAREHAM,Hampshire,South East,England,"77,114","2,129",4%,"54,700",2015
E14000700,FAVERSHAM & KENT MID,Kent,South East,England,"69,523","1,768",4%,"45,803",2015
E14000701,FELTHAM & HESTON,London,London,England,"82,340","1,390",3%,"49,405",2015
E14000702,FILTON & BRADLEY STOKE,Avon,South West,England,"71,310","2,257",5%,"49,101",2015
E14000703,FINCHLEY & GOLDERS GREEN,London,London,England,"72,530","1,357",3%,"50,759",2015
E14000704,FOLKESTONE & HYTHE,Kent,South East,England,"83,651","2,956",5%,"55,010",2015
E14000705,FOREST OF DEAN,Gloucestershire,South West,England,"69,865","2,703",5%,"49,520",2015
E14000706,FYLDE,Lancashire,North West,England,"65,679","1,381",3%,"43,557",2015
E14000707,GAINSBOROUGH,Lincolnshire,East Midlands,England,"74,686","1,290",3%,"49,261",2015
E14000708,GARSTON & HALEWOOD,Merseyside,North West,England,"73,719","1,690",3%,"48,983",2015
E14000709,GATESHEAD,Tyne and Wear,North East,England,"64,524","1,548",4%,"37,949",2015
E14000710,GEDLING,Nottinghamshire,East Midlands,England,"70,000","1,534",3%,"47,998",2015
E14000711,GILLINGHAM & RAINHAM,Kent,South East,England,"70,984","1,133",2%,"47,078",2015
E14000712,GLOUCESTER,Gloucestershire,South West,England,"82,968","1,485",3%,"52,575",2015
E14000713,GOSPORT,Hampshire,South East,England,"73,268","1,707",4%,"47,665",2015
E14000714,GRANTHAM & STAMFORD,Lincolnshire,East Midlands,England,"81,150","1,872",3%,"53,755",2015
E14000715,GRAVESHAM,Kent,South East,England,"72,043","1,124",2%,"50,139",2015
E14000716,GREAT GRIMSBY,Humberside,Yorkshire and The Humber,England,"59,200",783,2%,"33,731",2015
E14000717,GREAT YARMOUTH,Norfolk,Eastern,England,"69,793",978,2%,"44,469",2015
E14000718,GREENWICH & WOOLWICH,London,London,England,"73,315","2,991",6%,"46,716",2015
E14000719,GUILDFORD,Surrey,South East,England,"75,733","2,558",5%,"53,986",2015
E14000720,HACKNEY NORTH & STOKE NEWINGTON,London,London,England,"88,153","7,281",15%,"49,887",2015
E14000721,HACKNEY SOUTH & SHOREDITCH,London,London,England,"84,971","5,519",12%,"47,580",2015
E14000722,HALESOWEN & ROWLEY REGIS,West Midlands,West Midlands,England,"66,048",849,2%,"43,818",2015
E14000723,HALIFAX,West Yorkshire,Yorkshire and The Humber,England,"70,462","1,142",3%,"43,753",2015
E14000724,HALTEMPRICE & HOWDEN,Humberside,Yorkshire and The Humber,England,"71,195","1,809",4%,"48,757",2015
E14000725,HALTON,Cheshire,North West,England,"72,818","1,017",2%,"45,023",2015
E14000726,HAMMERSMITH,London,London,England,"72,254","2,105",4%,"47,960",2015
E14000727,HAMPSTEAD & KILBURN,London,London,England,"80,195","2,387",4%,"53,964",2015
E14000728,HARBOROUGH,Leicestershire,East Midlands,England,"77,760","2,177",4%,"52,471",2015
E14000729,HARLOW,Essex,Eastern,England,"67,994",954,2%,"44,251",2015
E14000730,HARROGATE & KNARESBOROUGH,North Yorkshire,Yorkshire and The Humber,England,"76,408","2,351",4%,"53,376",2015
E14000731,HARROW EAST,London,London,England,"70,981",846,2%,"49,000",2015
E14000732,HARROW WEST,London,London,England,"69,644","1,310",3%,"46,603",2015
E14000733,HARTLEPOOL,Cleveland,North East,England,"69,947","1,341",3%,"39,490",2015
E14000734,HARWICH & ESSEX NORTH,Essex,Eastern,England,"69,290","2,122",4%,"48,432",2015
E14000735,HASTINGS & RYE,East Sussex,South East,England,"75,095","1,951",4%,"50,927",2015
E14000736,HAVANT,Hampshire,South East,England,"70,573","2,352",5%,"44,828",2015
E14000737,HAYES & HARLINGTON,London,London,England,"74,874",794,2%,"45,056",2015
